state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_industries,closed_entertainment,closed_food_and_drink,closed_outdoor_and_recreation,opened_houses_of_worship,opened_personal_care,opened_retail,opened_entertainment,opened_food_and_drink,opened_outdoor_and_recreation,population
AK,Alaska,reopened,Reopened April 24.,,,"Gov. Mike Dunleavy, a Republican, eased restrictions on several kinds of businesses starting April 24. Alaska became one of the first states to make a nearly complete reopening, with all businesses allowed to open at full capacity on May 22. Cases increased over summer, however, and in August Mr. Dunleavy implemented strict requirements for travelers entering the state.",https://www.alaskapublic.org/2020/08/11/6-things-you-need-to-know-about-alaskas-new-travel-mandate/,,,,,True,"Hair salons, barbershops, nail salons, etc.",Retail stores,Libraries; Theaters; Bowling alleys; Museums,Restaurant dining; Bars,Gyms; Pools,731545
AL,Alabama,pausing,Reopened April 30.,,,"Gov. Kay Ivey, a Republican, ordered residents to stay home for much of April and began reopening businesses starting in May. In August, Ms. Ivey extended the state’s “Safer at Home” status and implemented a mask requirement until October 2.",https://www.wbrc.com/2020/08/27/gov-ivey-hold-press-conference-thursday-morning-give-covid-update/,,,,,True,Salons,Retail stores,Entertainment venues,"Restaurant dining, bars and breweries",Beaches; Gyms,4903185
AR,Arkansas,pausing,Reopened May 6.,,,"Gov. Asa Hutchinson, a Republican, never implemented a statewide stay-at-home order, instead opting to close high-contact businesses like gyms and personal care services. The state began reopening many of these in early May. Arkansas saw a steep increases in coronavirus cases in the weeks that followed, and Mr. Hutchinson implemented a mask mandate effective July 20.",https://www.kspr.com/content/news/Arkansas-governor-No-further-reopening-as-virus-cases-surge-571501921.html,,,,,True,"Hair salons, barbershops, nail salons, etc.",Retail,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Restaurant dining; Bars,Campgrounds; Gyms; Pools,3017804
AZ,Arizona,reversing,Reopened May 8.,,,"After Gov. Doug Ducey’s stay-at-home order expired May 15, Arizona saw cases soar. In late June, Mr. Ducey, a Republican, announced that the state would “pause” operations of bars, gyms, movie theaters, waterparks and tubing rentals to contain the virus’s spread, sparking lawsuits from some business owners. A court ruled that the state had to give businesses the opportunity to reopen safely, prompting Mr. Ducey to release guidelines on August 10 for “paused businesses” to follow in order to reopen.",https://www.fox10phoenix.com/news/arizona-gov-ducey-releases-guidelines-for-paused-businesses-to-reopen,,Movie theaters,Bars,Gyms; Waterparks,True,"Barbershops, salons, etc.",Retail stores,Casinos,Restaurant dining,"Pools, spas",7278717
CA,California,reversing,Reopened May 25.,,,"Gov. Gavin Newsom, a Democrat, emphasized caution as he allowed counties to reopen sectors in May and June. As cases rose in the summer, Mr. Newsom backtracked, ordering statewide closures of bars and indoor activities in many sectors including dining and entertainment. In late August, the state introduced a new plan for reopening and closing counties based on risk level, which allowed indoor retail and hair salons to open even in the counties where the virus was most widespread.",https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/reopening-across-counties/,"Manufacturing; Warehouses; Offices in some counties; Movie, TV and music production","Movie theaters; Museums, galleries, and aquariums; Arcades and bowling alleys",Bars,,Houses of worship in some counties,"Pet groomers; Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties; Hair salons and barbershops",Retail,Casinos in some areas; Zoos in some counties,Outdoor dining,Gyms in some counties,39512223
CO,Colorado,reversing,Reopened April 27.,,,"Gov. Jared Polis was one of the first Democratic governors to begin reopening his state, letting Colorado’s stay-at-home order expire on April 26. Businesses reopened throughout May and June, but in response to continuing outbreaks in neighboring states, in July, Mr. Polis extended the state’s “Safer at Home” phase and closed bars. He is allowing some regions to reopen bars and loosen restrictions.",https://denver.cbslocal.com/2020/06/30/polis-colorado-bars-coronavirus/,Offices; Manufacturing,,,,True,Salons and personal services,Retail stores,"Museums, indoor events; Fairs, rodeos, concerts, outdoor events; Libraries",Restaurant dining; Bars in some counties,"Campgrounds; Pools, playgrounds; Gyms",5758736
CT,Connecticut,pausing,Reopened May 20.,,,"Connecticut was one of the last states to begin reopening, on May 20. Gov. Ned Lamont, a Democrat, moved up a second phase of reopening in June after a favorable downward trend in case numbers. After postponing plans to enter Phase 3 over the summer, Mr. Lamont announced the state would move forward in its reopening in October. ",https://www.nbcconnecticut.com/news/local/heres-what-will-open-in-ct-during-phase-3/2337597/,Offices,,Bars,,True,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas","Retail stores, malls","Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Restaurant dining,Beaches; Gyms; State campgrounds,3565287
DC,District of Columbia,reopening,Reopened May 29.,,,"Washington, D.C., was under one of the nation’s strictest lockdowns until reopening on May 29. On June 22,  Mayor Muriel Bowser, a Democrat, opened a second round of businesses. On July 24, she signed an order requiring masks.",https://dcist.com/story/20/07/29/d-c-just-made-it-harder-to-move-to-phase-three-of-reopening/,,Nightclubs,,,True,"Barbershops, hair salons; Nail salons, waxing salons, spas",Retail stores,"Museums, libraries",Restaurants dining,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools",705749
DE,Delaware,pausing,Reopened June 1.,,,"Gov. John Carney, a Democrat, has overseen one of the slower reopenings, beginning June 1 with a limited number of businesses. After an increase in cases, Mr. Carney decided to delay the start of Phase 3, which was scheduled for the end of June.",https://www.delawareonline.com/story/news/coronavirus-in-delaware/2020/06/25/delaware-wont-go-into-phase-3-monday-gov-john-carney-says-coronavirus-delaware-reopen-covid-19/3260541001/,,,,,True,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",Retail stores; Malls,"Museums, libraries, galleries, live performances; Casinos",Farmers markets; Restaurants; Bars in some areas,Beaches; Pools; Gyms; Campgrounds,973764
FL,Florida,reopened,Reopened May 4.,,,"After reopenings in May and June led to outbreaks throughout summer, Gov. Ron DeSantis, a Republican, began to slow reopening, effectively shuttering bars in late June. By the end of summer, however, Mr. DeSantis moved to more broadly reopen the state. After reopening bars statewide in mid-September, on Sept. 25 Mr. DeSantis said restaurants could reopen and ""operate at a minimum of 50 percent regardless of local rule.""",https://www.tampabay.com/news/florida-politics/2020/09/25/desantis-bars-and-restaurants-can-go-to-full-capacity-as-florida-moves-to-phase-3/,,,,,True,"Salons; Tattoo parlors, massage therapy, tanning salons, acupuncture",Retail stores,"Sporting venues without spectators; Museums, libraries; Movie theaters, concert halls, bowling alleys",Restaurant dining; Bars,"Beaches, trails; Gyms",21477737
